gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
8343,8358,HIST1H2BG (human),HIST1H3E (human),0.5311888820022637,,,,878,0,genetically interacts with
8335,8360,HIST1H2AB (human),HIST2H4B (human),0.5274715849242814,,,,878,0,genetically interacts with
266740,30014,MAGEA2B (human),SPANXA1 (human),-0.0011615193100145901,,,,878,0,genetically interacts with
8347,114483833,HIST1H2BI (human),H2BE1 (human),-0.13268255964539094,,,,878,0,genetically interacts with
246100,1485,CTAG1B (human),CTAG1A (human),0.8055462162824323,,,,878,0,genetically interacts with
340529,159163,PABPC1L2B (human),RBMY1F (human),,,,,0,0,genetically interacts with
113179,402160,ADAT3 (human),CFAP99 (human),0.19571891902742353,,,,878,0,genetically interacts with
3021,8350,H3F3A (human),HIST1H3E (human),-0.013168294820361042,,,,878,0,genetically interacts with
8357,8359,HIST1H3E (human),HIST1H4E (human),0.14192338337094293,,,,878,0,genetically interacts with
8346,8343,HIST1H2BI (human),HIST1H2BG (human),0.38159817734265705,,,,878,0,genetically interacts with
3020,8335,H3F3B (human),HIST1H2AB (human),-0.1309290157845082,,,-0.0020987999188795516,878,0,genetically interacts with
102724250,25832,LOC102724250,NBPF14 (human),,,,,0,0,genetically interacts with
8337,57620,HIST2H2AA4 (human),STIM2 (human),,,,,0,0,genetically interacts with
100131827,548313,ZNF717 (human),SSX4 (human),-0.07335793700203451,,,,878,0,genetically interacts with
401661,727924,OR51C1P,LINC02203,0.01167819113444336,,,,878,0,genetically interacts with
642819,100529240,ZNF487 (human),ZNF816-ZNF321P,,,,,878,0,genetically interacts with
8357,8355,HIST1H3E (human),HIST1H3J (human),0.49659767813608924,,,,878,0,genetically interacts with
8362,8366,HIST2H4A (human),HIST1H4D (human),0.28616374313257853,,,,878,0,genetically interacts with
8355,8969,HIST1H3J (human),HIST1H2AG (human),0.5975844716272167,,,,878,0,genetically interacts with
159163,645974,RBMY1F (human),PABPC1L2A (human),,,,,0,0,genetically interacts with
126961,8357,HIST2H3D (human),HIST1H3E (human),0.21832333040018814,,,,878,0,genetically interacts with
100885850,100885848,PTGES3L-AARSD1 (human),PTGES3L (human),0.11382333241272252,,,,878,0,genetically interacts with
391747,83740,TAF11L6,H2AFB3 (human),,,,,878,0,genetically interacts with
440686,8356,H3-2 (human),HIST1H3D (human),0.06163856509800605,,,,878,0,genetically interacts with
79946,5463,C10orf95 (human),POU6F1 (human),0.0023463594638317813,,,,878,0,genetically interacts with
115482686,8969,H2AL3,HIST1H2AG (human),0.017473622865344707,,,,878,0,genetically interacts with
8366,8359,HIST1H4D (human),HIST1H4E (human),0.7775052505547304,,,,878,0,genetically interacts with
727837,170958,SSX2 (human),ZNF525 (human),-0.055174870677612106,,,,878,0,genetically interacts with
10189,8332,ALYREF (human),HIST1H2AI (human),0.1571314705940056,,,,878,0,genetically interacts with
8363,391746,HIST1H4B (human),TAF11L4,,,,,878,0,genetically interacts with
100507170,728072,CT47A9 (human),CT47A3 (human),,,,,0,0,genetically interacts with
8343,114483833,HIST1H2BG (human),H2BE1 (human),-0.12795935201362302,,,,878,0,genetically interacts with
8969,8337,HIST1H2AG (human),HIST2H2AA4 (human),,,,,0,0,genetically interacts with
642819,100131827,ZNF487 (human),ZNF717 (human),0.24610205004429922,,,,878,0,genetically interacts with
26683,105369274,OR4F29 (human),OR4N4C (human),,,,,878,0,genetically interacts with
90332,645811,EXOC3L2 (human),CCDC154 (human),0.20013681505872455,,,,878,0,genetically interacts with
8356,8357,HIST1H3D (human),HIST1H3E (human),0.579396401432391,,,,878,0,genetically interacts with
101929796,101060684,NOTCH2NLR,NBPF26,0.5469568110190515,,,,878,0,genetically interacts with
124923,102800317,RSKR,CSNK1E (human),-0.034038369299511505,,,,878,0,genetically interacts with
8336,3020,HIST1H2AG (human),H3F3B (human),0.07135961367818514,,0.03650217562613878,,878,0,genetically interacts with
