term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
calcium ion homeostasis,15,0,0.09036144578313253,0.0,inf,0.037164128956770126,inf
endoplasmic reticulum subcompartment,15,0,0.09036144578313253,0.0,inf,0.037164128956770126,inf
cell activation,22,1,0.13253012048192772,0.02564102564102564,5.168674698795181,0.041111244574669685,5.805555555555555
cellular response to endogenous stimulus,14,0,0.08433734939759036,0.0,inf,0.04669966204436246,inf
phosphoric ester hydrolase activity,14,0,0.08433734939759036,0.0,inf,0.04669966204436246,inf
tube development,13,0,0.0783132530120482,0.0,inf,0.05860349746743524,inf
regulation of nervous system development,18,1,0.10843373493975904,0.02564102564102564,4.228915662650603,0.08832127567220283,4.621621621621622
sequence-specific DNA binding,18,1,0.10843373493975904,0.02564102564102564,4.228915662650603,0.08832127567220283,4.621621621621622
system development,18,1,0.10843373493975904,0.02564102564102564,4.228915662650603,0.08832127567220283,4.621621621621622
positive regulation of cell development,11,0,0.06626506024096386,0.0,inf,0.09192426276395937,inf
spermatogenesis,11,0,0.06626506024096386,0.0,inf,0.09192426276395937,inf
carboxylic acid biosynthetic process,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
plasma membrane region,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
regulation of growth,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
macromolecule catabolic process,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
nuclear outer membrane-endoplasmic reticulum membrane network,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
nucleotide biosynthetic process,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
cellular protein localization,17,1,0.10240963855421686,0.02564102564102564,3.9939759036144578,0.10610808348606263,4.3355704697986575
angiogenesis,10,0,0.060240963855421686,0.0,inf,0.11490532845494919,inf
response to external stimulus,22,2,0.13253012048192772,0.05128205128205128,2.5843373493975905,0.12247054991449567,2.826388888888889
positive regulation of growth,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
inorganic ion transmembrane transport,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
small molecule catabolic process,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
regulation of peptide transport,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
phospholipid binding,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
positive regulation of cell motility,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
gland development,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
divalent inorganic cation homeostasis,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
negative regulation of molecular function,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
integral component of plasma membrane,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
regulation of metal ion transport,16,1,0.0963855421686747,0.02564102564102564,3.7590361445783134,0.1270504027602331,4.053333333333334
membrane organization,9,0,0.05421686746987952,0.0,inf,0.14344869030044613,inf
positive regulation of cell activation,9,0,0.05421686746987952,0.0,inf,0.14344869030044613,inf
organic hydroxy compound transport,15,1,0.09036144578313253,0.02564102564102564,3.524096385542169,0.15159052600787817,3.774834437086093
tissue migration,15,1,0.09036144578313253,0.02564102564102564,3.524096385542169,0.15159052600787817,3.774834437086093
regulation of phosphorylation,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
response to steroid hormone,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
RNA polymerase II cis-regulatory region sequence-specific DNA binding,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
response to xenobiotic stimulus,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
anion transmembrane transport,13,1,0.0783132530120482,0.02564102564102564,3.0542168674698797,0.21335335796738147,3.2287581699346406
positive regulation of developmental process,13,1,0.0783132530120482,0.02564102564102564,3.0542168674698797,0.21335335796738147,3.2287581699346406
cellular response to lipid,13,1,0.0783132530120482,0.02564102564102564,3.0542168674698797,0.21335335796738147,3.2287581699346406
purine ribonucleotide metabolic process,28,4,0.1686746987951807,0.10256410256410256,1.644578313253012,0.22272235538498505,1.7753623188405796
cell adhesion,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
immune system process,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
signaling receptor binding,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
plasma membrane,41,7,0.2469879518072289,0.1794871794871795,1.3760757314974181,0.2507489779480641,1.4994285714285713
regulation of apoptotic process,12,1,0.07228915662650602,0.02564102564102564,2.819277108433735,0.25153838848035526,2.961038961038961
regulation of response to stress,12,1,0.07228915662650602,0.02564102564102564,2.819277108433735,0.25153838848035526,2.961038961038961
regulation of protein catabolic process,17,2,0.10240963855421686,0.05128205128205128,1.9969879518072289,0.25729594990387095,2.110738255033557
regulation of vesicle-mediated transport,17,2,0.10240963855421686,0.05128205128205128,1.9969879518072289,0.25729594990387095,2.110738255033557
proteolysis,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
nervous system development,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
positive regulation of DNA-binding transcription factor activity,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
organonitrogen compound metabolic process,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
defense response to virus,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
transmembrane transport,21,3,0.12650602409638553,0.07692307692307693,1.6445783132530118,0.28855575253924387,1.7379310344827585
protein transport,16,2,0.0963855421686747,0.05128205128205128,1.8795180722891567,0.29458895695359694,1.9733333333333334
multicellular organism development,16,2,0.0963855421686747,0.05128205128205128,1.8795180722891567,0.29458895695359694,1.9733333333333334
negative regulation of apoptotic process,11,1,0.06626506024096386,0.02564102564102564,2.5843373493975905,0.2952000809378696,2.696774193548387
positive regulation of apoptotic process,11,1,0.06626506024096386,0.02564102564102564,2.5843373493975905,0.2952000809378696,2.696774193548387
ATP binding,20,3,0.12048192771084337,0.07692307692307693,1.5662650602409638,0.32438920379047365,1.643835616438356
regulation of catalytic activity,20,3,0.12048192771084337,0.07692307692307693,1.5662650602409638,0.32438920379047365,1.643835616438356
regulation of supramolecular fiber organization,15,2,0.09036144578313253,0.05128205128205128,1.7620481927710845,0.33564145036521587,1.8377483443708609
heparin binding,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
vesicle,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
response to peptide hormone,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
cellular response to lipopolysaccharide,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
phagocytosis,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
positive regulation of I-kappaB kinase/NF-kappaB signaling,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
cellular response to amino acid starvation,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
dendrite,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
blood vessel remodeling,5,0,0.030120481927710843,0.0,inf,0.3441208650722305,inf
cell surface,10,1,0.060240963855421686,0.02564102564102564,2.3493975903614457,0.3447159853648476,2.4358974358974357
mitochondrion,19,3,0.1144578313253012,0.07692307692307693,1.4879518072289155,0.36296766062409586,1.5510204081632653
positive regulation of transcription by RNA polymerase II,14,2,0.08433734939759036,0.05128205128205128,1.644578313253012,0.3804433201100942,1.7039473684210527
extracellular space,14,2,0.08433734939759036,0.05128205128205128,1.644578313253012,0.3804433201100942,1.7039473684210527
cytosol,49,10,0.29518072289156627,0.2564102564102564,1.1512048192771085,0.3943406963534211,1.2145299145299144
apical plasma membrane,9,1,0.05421686746987952,0.02564102564102564,2.1144578313253013,0.40033894690991856,2.178343949044586
metal ion binding,9,1,0.05421686746987952,0.02564102564102564,2.1144578313253013,0.40033894690991856,2.178343949044586
extracellular region,9,1,0.05421686746987952,0.02564102564102564,2.1144578313253013,0.40033894690991856,2.178343949044586
positive regulation of signal transduction,18,3,0.10843373493975904,0.07692307692307693,1.4096385542168675,0.40416461836687995,1.4594594594594594
protein binding,91,20,0.5481927710843374,0.5128205128205128,1.068975903614458,0.41176566870317727,1.1526666666666667
apoptotic process,22,4,0.13253012048192772,0.10256410256410256,1.2921686746987953,0.42183683365109276,1.3368055555555556
branching involved in ureteric bud morphogenesis,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
ubiquitin protein ligase activity,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
positive regulation of phosphatidylinositol 3-kinase signaling,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
protein domain specific binding,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
positive regulation of immune system process,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
homophilic cell adhesion via plasma membrane adhesion molecules,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
cellular response to glucose starvation,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
thymus development,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
virus receptor activity,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
response to mechanical stimulus,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
glucose homeostasis,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
transcription coactivator binding,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
negative regulation of canonical Wnt signaling pathway,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
response to retinoic acid,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
transmembrane receptor protein tyrosine kinase activity,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
positive regulation of inflammatory response,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
disordered domain specific binding,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
inflammatory response,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
SH2 domain binding,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
protein kinase B signaling,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
negative regulation of protein phosphorylation,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
Wnt signaling pathway,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
macroautophagy,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
"DNA-binding transcription activator activity, RNA polymerase II-specific",4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
negative regulation of cell death,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
chemical synaptic transmission,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
cell-cell signaling,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
regulation of leukocyte activation,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
phosphatidylinositol 3-kinase binding,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
positive regulation of NF-kappaB transcription factor activity,4,0,0.024096385542168676,0.0,inf,0.4269647770340639,inf
integral component of membrane,8,1,0.04819277108433735,0.02564102564102564,1.8795180722891567,0.462122679512197,1.9240506329113924
