term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
Metabolism,49,6,0.29518072289156627,0.15384615384615385,1.9186746987951806,0.05149897383668703,2.3034188034188032
Biological oxidations,36,4,0.21686746987951808,0.10256410256410256,2.1144578313253013,0.07607171041238937,2.423076923076923
Aflatoxin activation and detoxification,35,4,0.21084337349397592,0.10256410256410256,2.055722891566265,0.08812246433946316,2.3377862595419847
Cytochrome P450 - arranged by substrate type,34,4,0.20481927710843373,0.10256410256410256,1.9969879518072289,0.10172286844130829,2.253787878787879
Xenobiotics,34,4,0.20481927710843373,0.10256410256410256,1.9969879518072289,0.10172286844130829,2.253787878787879
Phase I - Functionalization of compounds,34,4,0.20481927710843373,0.10256410256410256,1.9969879518072289,0.10172286844130829,2.253787878787879
Deubiquitination,10,0,0.060240963855421686,0.0,inf,0.11490532845494919,inf
Hemostasis,20,2,0.12048192771084337,0.05128205128205128,2.3493975903614457,0.1668605050531828,2.5342465753424657
Neurotransmitter receptors and postsynaptic signal transmission,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
Organelle biogenesis and maintenance,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
Neuronal System,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
Mitotic Prophase,8,0,0.04819277108433735,0.0,inf,0.17885691132397397,inf
Signal Transduction,75,14,0.45180722891566266,0.358974358974359,1.258605851979346,0.19175072932285359,1.4717425431711146
M Phase,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
Metabolism of lipids,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
Response to elevated platelet cytosolic Ca2+,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
Transmission across Chemical Synapses,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
Transcriptional regulation by RUNX2,7,0,0.04216867469879518,0.0,inf,0.22272747447891103,inf
Cellular responses to stress,22,3,0.13253012048192772,0.07692307692307693,1.7228915662650603,0.2555222315752055,1.8333333333333333
Regulated Necrosis,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
Oncogenic MAPK signaling,6,0,0.03614457831325301,0.0,inf,0.2770172963831457,inf
