term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
has gene product,126,21,0.7590361445783133,0.5384615384615384,1.4096385542168675,0.006458233525221729,2.7
type,134,27,0.8072289156626506,0.6923076923076923,1.1659973226238287,0.09017186570296316,1.8611111111111112
participates in,126,25,0.7590361445783133,0.6410256410256411,1.1840963855421687,0.09804944718879641,1.764
gene product of,157,34,0.9457831325301205,0.8717948717948718,1.0848688873139618,0.10215865090179403,2.565359477124183
causes or contributes to condition,114,22,0.6867469879518072,0.5641025641025641,1.2174151150054764,0.10308673020491627,1.694055944055944
transcribed to,140,29,0.8433734939759037,0.7435897435897436,1.134191940174491,0.10980047883172923,1.856763925729443
only_in_taxon,123,25,0.7409638554216867,0.6410256410256411,1.1559036144578312,0.14600616149064238,1.601860465116279
causally influenced by,46,7,0.27710843373493976,0.1794871794871795,1.5438898450946643,0.1462910011727795,1.7523809523809524
has_gene_template,155,35,0.9337349397590361,0.8974358974358975,1.040447504302926,0.3122326241934215,1.6103896103896105
interacts with,111,25,0.6686746987951807,0.6410256410256411,1.043132530120482,0.43923227457827607,1.1301818181818182
disease has basis in dysfunction of,54,12,0.3253012048192771,0.3076923076923077,1.0572289156626504,0.4971624632464987,1.0848214285714286
causally influences,63,17,0.3795180722891566,0.4358974358974359,0.8706591070163004,0.797901872598374,0.7915476870359794
has participant,146,36,0.8795180722891566,0.9230769230769231,0.9528112449799195,0.8567687997574108,0.6083333333333333
transcribed from,165,39,0.9939759036144579,1.0,0.9939759036144579,1.0,0.0
